,DataType,Estimator,RD,ACC,SEN,SPEC,PREC,F1,scale
0,ABIDE_ACPI_1,SVC,spec,64.0,63.8,63.8,64.0,63.8,0.1
1,ABIDE_ACPI_1,SVC,spec,52.0,51.3,51.3,51.5,50.0,0.1
2,ABIDE_ACPI_1,SVC,spec,56.0,56.4,56.4,56.7,55.7,0.1
3,ABIDE_ACPI_1,SVC,spec,40.0,39.7,39.7,39.6,39.6,0.1
4,ABIDE_ACPI_1,SVC,spec,52.0,51.6,51.6,51.7,51.3,0.1
5,ABIDE_ACPI_1,SVC,com,56.0,56.1,56.1,56.1,56.0,0.1
6,ABIDE_ACPI_1,SVC,com,48.0,49.7,49.7,48.9,38.1,0.1
7,ABIDE_ACPI_1,SVC,com,48.0,47.4,47.4,47.2,46.6,0.1
8,ABIDE_ACPI_1,SVC,com,72.0,72.8,72.8,76.1,71.3,0.1
9,ABIDE_ACPI_1,SVC,com,52.0,53.5,53.5,58.3,44.9,0.1
10,ABIDE_ACPI_1,SVC,spec,48.0,48.1,48.1,48.1,48.0,0.2
11,ABIDE_ACPI_1,SVC,spec,64.0,63.5,63.5,64.6,63.1,0.2
12,ABIDE_ACPI_1,SVC,spec,56.0,56.4,56.4,56.7,55.7,0.2
13,ABIDE_ACPI_1,SVC,spec,32.0,31.7,31.7,31.5,31.6,0.2
14,ABIDE_ACPI_1,SVC,spec,52.0,51.6,51.6,51.7,51.3,0.2
15,ABIDE_ACPI_1,SVC,com,44.0,43.9,43.9,43.9,43.9,0.2
16,ABIDE_ACPI_1,SVC,com,40.0,41.7,41.7,21.7,28.6,0.2
17,ABIDE_ACPI_1,SVC,com,52.0,51.3,51.3,51.5,50.0,0.2
18,ABIDE_ACPI_1,SVC,com,36.0,36.9,36.9,33.7,33.3,0.2
19,ABIDE_ACPI_1,SVC,com,52.0,53.5,53.5,58.3,44.9,0.2
20,ABIDE_ACPI_1,SVC,spec,44.0,44.2,44.2,44.2,43.9,0.5
21,ABIDE_ACPI_1,SVC,spec,52.0,51.6,51.6,51.7,51.3,0.5
22,ABIDE_ACPI_1,SVC,spec,64.0,64.4,64.4,65.0,63.8,0.5
23,ABIDE_ACPI_1,SVC,spec,44.0,43.9,43.9,43.9,43.9,0.5
24,ABIDE_ACPI_1,SVC,spec,72.0,71.5,71.5,73.3,71.3,0.5
25,ABIDE_ACPI_1,SVC,com,24.0,24.0,24.0,24.0,24.0,0.5
26,ABIDE_ACPI_1,SVC,com,52.0,51.6,51.6,51.7,51.3,0.5
27,ABIDE_ACPI_1,SVC,com,56.0,55.4,55.4,55.9,54.8,0.5
28,ABIDE_ACPI_1,SVC,com,48.0,48.7,48.7,48.5,46.6,0.5
29,ABIDE_ACPI_1,SVC,com,52.0,53.5,53.5,58.3,44.9,0.5
30,ABIDE_ACPI_1,SVC,spec,44.0,44.6,44.6,44.1,43.2,1.0
31,ABIDE_ACPI_1,SVC,spec,64.0,63.5,63.5,64.6,63.1,1.0
32,ABIDE_ACPI_1,SVC,spec,52.0,52.6,52.6,52.8,51.3,1.0
33,ABIDE_ACPI_1,SVC,spec,48.0,47.8,47.8,47.7,47.7,1.0
34,ABIDE_ACPI_1,SVC,spec,48.0,47.8,47.8,47.7,47.7,1.0
35,ABIDE_ACPI_1,SVC,com,60.0,59.6,59.6,60.0,59.4,1.0
36,ABIDE_ACPI_1,SVC,com,48.0,47.1,47.1,46.4,44.8,1.0
37,ABIDE_ACPI_1,SVC,com,52.0,51.3,51.3,51.5,50.0,1.0
38,ABIDE_ACPI_1,SVC,com,64.0,64.4,64.4,65.0,63.8,1.0
39,ABIDE_ACPI_1,SVC,com,40.0,41.0,41.0,37.7,36.3,1.0
40,ABIDE_ACPI_2,SVC,spec,48.0,48.1,48.1,48.1,48.0,0.1
41,ABIDE_ACPI_2,SVC,spec,32.0,32.1,32.1,32.1,32.0,0.1
42,ABIDE_ACPI_2,SVC,spec,48.0,47.8,47.8,47.7,47.7,0.1
43,ABIDE_ACPI_2,SVC,spec,24.0,23.7,23.7,23.4,23.5,0.1
44,ABIDE_ACPI_2,SVC,spec,56.0,56.4,56.4,56.7,55.7,0.1
45,ABIDE_ACPI_2,SVC,com,44.0,43.6,43.6,43.3,43.2,0.1
46,ABIDE_ACPI_2,SVC,com,40.0,40.1,40.1,40.1,40.0,0.1
47,ABIDE_ACPI_2,SVC,com,56.0,56.4,56.4,56.7,55.7,0.1
48,ABIDE_ACPI_2,SVC,com,52.0,51.9,51.9,51.9,51.9,0.1
49,ABIDE_ACPI_2,SVC,com,60.0,60.3,60.3,60.4,59.9,0.1
50,ABIDE_ACPI_2,SVC,spec,48.0,48.4,48.4,48.3,47.7,0.2
51,ABIDE_ACPI_2,SVC,spec,44.0,44.2,44.2,44.2,43.9,0.2
52,ABIDE_ACPI_2,SVC,spec,68.0,67.9,67.9,67.9,67.9,0.2
53,ABIDE_ACPI_2,SVC,spec,52.0,51.6,51.6,51.7,51.3,0.2
54,ABIDE_ACPI_2,SVC,spec,52.0,51.9,51.9,51.9,51.9,0.2
55,ABIDE_ACPI_2,SVC,com,52.0,51.6,51.6,51.7,51.3,0.2
56,ABIDE_ACPI_2,SVC,com,40.0,40.1,40.1,40.1,40.0,0.2
57,ABIDE_ACPI_2,SVC,com,48.0,48.4,48.4,48.3,47.7,0.2
58,ABIDE_ACPI_2,SVC,com,60.0,59.9,59.9,59.9,59.9,0.2
59,ABIDE_ACPI_2,SVC,com,44.0,44.2,44.2,44.2,43.9,0.2
60,ABIDE_ACPI_2,SVC,spec,52.0,52.6,52.6,52.8,51.3,0.5
61,ABIDE_ACPI_2,SVC,spec,60.0,60.3,60.3,60.4,59.9,0.5
62,ABIDE_ACPI_2,SVC,spec,72.0,72.1,72.1,72.1,72.0,0.5
63,ABIDE_ACPI_2,SVC,spec,52.0,51.9,51.9,51.9,51.9,0.5
64,ABIDE_ACPI_2,SVC,spec,28.0,27.9,27.9,27.9,27.9,0.5
65,ABIDE_ACPI_2,SVC,com,40.0,39.1,39.1,36.5,36.3,0.5
66,ABIDE_ACPI_2,SVC,com,48.0,48.1,48.1,48.1,48.0,0.5
67,ABIDE_ACPI_2,SVC,com,32.0,32.4,32.4,31.7,31.6,0.5
68,ABIDE_ACPI_2,SVC,com,36.0,35.9,35.9,35.9,35.9,0.5
69,ABIDE_ACPI_2,SVC,com,52.0,52.2,52.2,52.3,51.9,0.5
70,ABIDE_ACPI_2,SVC,spec,36.0,36.5,36.5,35.4,35.1,1.0
71,ABIDE_ACPI_2,SVC,spec,52.0,51.3,51.3,51.5,50.0,1.0
72,ABIDE_ACPI_2,SVC,spec,68.0,68.3,68.3,68.5,67.9,1.0
73,ABIDE_ACPI_2,SVC,spec,56.0,55.4,55.4,55.9,54.8,1.0
74,ABIDE_ACPI_2,SVC,spec,32.0,32.4,32.4,31.7,31.6,1.0
75,ABIDE_ACPI_2,SVC,com,60.0,60.3,60.3,60.4,59.9,1.0
76,ABIDE_ACPI_2,SVC,com,72.0,72.1,72.1,72.1,72.0,1.0
77,ABIDE_ACPI_2,SVC,com,56.0,56.4,56.4,56.7,55.7,1.0
78,ABIDE_ACPI_2,SVC,com,60.0,59.6,59.6,60.0,59.4,1.0
79,ABIDE_ACPI_2,SVC,com,60.0,60.3,60.3,60.4,59.9,1.0
80,ABIDE_ACPI_3,SVC,spec,48.0,47.8,47.8,47.7,47.7,0.1
81,ABIDE_ACPI_3,SVC,spec,32.0,32.1,32.1,32.1,32.0,0.1
82,ABIDE_ACPI_3,SVC,spec,68.0,67.9,67.9,67.9,67.9,0.1
83,ABIDE_ACPI_3,SVC,spec,48.0,47.8,47.8,47.7,47.7,0.1
84,ABIDE_ACPI_3,SVC,spec,54.2,54.2,54.2,54.4,53.4,0.1
85,ABIDE_ACPI_3,SVC,com,44.0,42.9,42.9,40.4,39.2,0.1
86,ABIDE_ACPI_3,SVC,com,40.0,39.4,39.4,38.5,38.4,0.1
87,ABIDE_ACPI_3,SVC,com,60.0,60.6,60.6,61.5,59.4,0.1
88,ABIDE_ACPI_3,SVC,com,40.0,39.4,39.4,38.5,38.4,0.1
89,ABIDE_ACPI_3,SVC,com,50.0,50.0,50.0,50.0,46.7,0.1
90,ABIDE_ACPI_3,SVC,spec,52.0,51.6,51.6,51.7,51.3,0.2
91,ABIDE_ACPI_3,SVC,spec,56.0,56.1,56.1,56.1,56.0,0.2
92,ABIDE_ACPI_3,SVC,spec,48.0,48.1,48.1,48.1,48.0,0.2
93,ABIDE_ACPI_3,SVC,spec,48.0,48.1,48.1,48.1,48.0,0.2
94,ABIDE_ACPI_3,SVC,spec,37.5,37.5,37.5,36.7,36.5,0.2
95,ABIDE_ACPI_3,SVC,com,36.0,34.9,34.9,29.4,30.6,0.2
96,ABIDE_ACPI_3,SVC,com,64.0,62.8,62.8,70.0,59.9,0.2
97,ABIDE_ACPI_3,SVC,com,44.0,44.6,44.6,44.1,43.2,0.2
98,ABIDE_ACPI_3,SVC,com,48.0,47.4,47.4,47.2,46.6,0.2
99,ABIDE_ACPI_3,SVC,com,50.0,50.0,50.0,50.0,46.7,0.2
100,ABIDE_ACPI_3,SVC,spec,48.0,47.8,47.8,47.7,47.7,0.5
101,ABIDE_ACPI_3,SVC,spec,68.0,68.3,68.3,68.5,67.9,0.5
102,ABIDE_ACPI_3,SVC,spec,48.0,47.4,47.4,47.2,46.6,0.5
103,ABIDE_ACPI_3,SVC,spec,40.0,40.1,40.1,40.1,40.0,0.5
104,ABIDE_ACPI_3,SVC,spec,37.5,37.5,37.5,36.7,36.5,0.5
105,ABIDE_ACPI_3,SVC,com,56.0,54.5,54.5,60.6,47.6,0.5
106,ABIDE_ACPI_3,SVC,com,44.0,43.6,43.6,43.3,43.2,0.5
107,ABIDE_ACPI_3,SVC,com,44.0,44.6,44.6,44.1,43.2,0.5
108,ABIDE_ACPI_3,SVC,com,32.0,32.7,32.7,30.1,30.2,0.5
109,ABIDE_ACPI_3,SVC,com,50.0,50.0,50.0,50.0,49.7,0.5
110,ABIDE_ACPI_3,SVC,spec,60.0,59.9,59.9,59.9,59.9,1.0
111,ABIDE_ACPI_3,SVC,spec,60.0,60.3,60.3,60.4,59.9,1.0
112,ABIDE_ACPI_3,SVC,spec,48.0,48.1,48.1,48.1,48.0,1.0
113,ABIDE_ACPI_3,SVC,spec,52.0,51.6,51.6,51.7,51.3,1.0
114,ABIDE_ACPI_3,SVC,spec,58.3,58.3,58.3,59.4,57.1,1.0
115,ABIDE_ACPI_3,SVC,com,56.0,55.8,55.8,55.8,55.7,1.0
116,ABIDE_ACPI_3,SVC,com,52.0,51.6,51.6,51.7,51.3,1.0
117,ABIDE_ACPI_3,SVC,com,60.0,60.6,60.6,61.5,59.4,1.0
118,ABIDE_ACPI_3,SVC,com,48.0,48.1,48.1,48.1,48.0,1.0
119,ABIDE_ACPI_3,SVC,com,41.7,41.7,41.7,41.4,41.3,1.0
120,ABIDE_ACPI_4,SVC,spec,40.0,39.4,39.4,38.5,38.4,0.1
121,ABIDE_ACPI_4,SVC,spec,68.0,68.3,68.3,68.5,67.9,0.1
122,ABIDE_ACPI_4,SVC,spec,44.0,43.9,43.9,43.9,43.9,0.1
123,ABIDE_ACPI_4,SVC,spec,52.0,51.6,51.6,51.7,51.3,0.1
124,ABIDE_ACPI_4,SVC,spec,32.0,31.1,31.1,26.6,27.8,0.1
125,ABIDE_ACPI_4,SVC,com,56.0,55.1,55.1,56.3,53.3,0.1
126,ABIDE_ACPI_4,SVC,com,44.0,43.6,43.6,43.3,43.2,0.1
127,ABIDE_ACPI_4,SVC,com,40.0,40.4,40.4,40.0,39.6,0.1
128,ABIDE_ACPI_4,SVC,com,56.0,54.8,54.8,57.5,51.0,0.1
129,ABIDE_ACPI_4,SVC,com,36.0,36.2,36.2,36.0,35.9,0.1
130,ABIDE_ACPI_4,SVC,spec,28.0,27.6,27.6,26.7,26.9,0.2
131,ABIDE_ACPI_4,SVC,spec,48.0,48.4,48.4,48.3,47.7,0.2
132,ABIDE_ACPI_4,SVC,spec,52.0,51.9,51.9,51.9,51.9,0.2
133,ABIDE_ACPI_4,SVC,spec,64.0,63.5,63.5,64.6,63.1,0.2
134,ABIDE_ACPI_4,SVC,spec,48.0,47.4,47.4,47.2,46.6,0.2
135,ABIDE_ACPI_4,SVC,com,52.0,51.3,51.3,51.5,50.0,0.2
136,ABIDE_ACPI_4,SVC,com,48.0,49.7,49.7,48.9,38.1,0.2
137,ABIDE_ACPI_4,SVC,com,48.0,48.7,48.7,48.5,46.6,0.2
138,ABIDE_ACPI_4,SVC,com,44.0,45.5,45.5,39.4,35.7,0.2
139,ABIDE_ACPI_4,SVC,com,44.0,44.2,44.2,44.2,43.9,0.2
140,ABIDE_ACPI_4,SVC,spec,36.0,35.6,35.6,35.0,35.1,0.5
141,ABIDE_ACPI_4,SVC,spec,40.0,40.4,40.4,40.0,39.6,0.5
142,ABIDE_ACPI_4,SVC,spec,36.0,36.2,36.2,36.0,35.9,0.5
143,ABIDE_ACPI_4,SVC,spec,52.0,51.6,51.6,51.7,51.3,0.5
144,ABIDE_ACPI_4,SVC,spec,48.0,47.4,47.4,47.2,46.6,0.5
145,ABIDE_ACPI_4,SVC,com,40.0,40.7,40.7,39.3,38.4,0.5
146,ABIDE_ACPI_4,SVC,com,36.0,35.6,35.6,35.0,35.1,0.5
147,ABIDE_ACPI_4,SVC,com,48.0,49.0,49.0,48.7,44.8,0.5
148,ABIDE_ACPI_4,SVC,com,52.0,53.2,53.2,55.0,47.9,0.5
149,ABIDE_ACPI_4,SVC,com,48.0,48.1,48.1,48.1,48.0,0.5
150,ABIDE_ACPI_4,SVC,spec,56.0,55.8,55.8,55.8,55.7,1.0
151,ABIDE_ACPI_4,SVC,spec,56.0,56.1,56.1,56.1,56.0,1.0
152,ABIDE_ACPI_4,SVC,spec,48.0,48.4,48.4,48.3,47.7,1.0
153,ABIDE_ACPI_4,SVC,spec,64.0,63.1,63.1,66.3,61.8,1.0
154,ABIDE_ACPI_4,SVC,spec,36.0,35.3,35.3,33.1,33.3,1.0
155,ABIDE_ACPI_4,SVC,com,72.0,73.1,73.1,81.6,70.3,1.0
156,ABIDE_ACPI_4,SVC,com,48.0,49.0,49.0,48.7,44.8,1.0
157,ABIDE_ACPI_4,SVC,com,48.0,49.0,49.0,48.7,44.8,1.0
158,ABIDE_ACPI_4,SVC,com,56.0,55.4,55.4,55.9,54.8,1.0
159,ABIDE_ACPI_4,SVC,com,40.0,39.7,39.7,39.6,39.6,1.0
160,ABIDE_ACPI_5,SVC,spec,60.0,59.9,59.9,59.9,59.9,0.1
161,ABIDE_ACPI_5,SVC,spec,44.0,43.6,43.6,43.3,43.2,0.1
162,ABIDE_ACPI_5,SVC,spec,56.0,56.4,56.4,56.7,55.7,0.1
163,ABIDE_ACPI_5,SVC,spec,66.7,66.7,66.7,66.7,66.7,0.1
164,ABIDE_ACPI_5,SVC,spec,45.8,45.8,45.8,45.8,45.7,0.1
165,ABIDE_ACPI_5,SVC,com,28.0,27.9,27.9,27.9,27.9,0.1
166,ABIDE_ACPI_5,SVC,com,56.0,57.1,57.1,59.6,53.3,0.1
167,ABIDE_ACPI_5,SVC,com,48.0,49.0,49.0,48.7,44.8,0.1
168,ABIDE_ACPI_5,SVC,com,45.8,45.8,45.8,45.8,45.7,0.1
169,ABIDE_ACPI_5,SVC,com,54.2,54.2,54.2,76.1,42.0,0.1
170,ABIDE_ACPI_5,SVC,spec,28.0,27.9,27.9,27.9,27.9,0.2
171,ABIDE_ACPI_5,SVC,spec,60.0,59.3,59.3,60.7,58.3,0.2
172,ABIDE_ACPI_5,SVC,spec,60.0,59.3,59.3,60.7,58.3,0.2
173,ABIDE_ACPI_5,SVC,spec,54.2,54.2,54.2,54.2,54.1,0.2
174,ABIDE_ACPI_5,SVC,spec,50.0,50.0,50.0,50.0,50.0,0.2
175,ABIDE_ACPI_5,SVC,com,44.0,43.9,43.9,43.9,43.9,0.2
176,ABIDE_ACPI_5,SVC,com,40.0,41.0,41.0,37.7,36.3,0.2
177,ABIDE_ACPI_5,SVC,com,60.0,60.9,60.9,63.5,58.3,0.2
178,ABIDE_ACPI_5,SVC,com,58.3,58.3,58.3,58.3,58.3,0.2
179,ABIDE_ACPI_5,SVC,com,45.8,45.8,45.8,23.9,31.4,0.2
180,ABIDE_ACPI_5,SVC,spec,36.0,36.2,36.2,36.0,35.9,0.5
181,ABIDE_ACPI_5,SVC,spec,56.0,55.4,55.4,55.9,54.8,0.5
182,ABIDE_ACPI_5,SVC,spec,36.0,36.2,36.2,36.0,35.9,0.5
183,ABIDE_ACPI_5,SVC,spec,45.8,45.8,45.8,45.8,45.7,0.5
184,ABIDE_ACPI_5,SVC,spec,45.8,45.8,45.8,45.8,45.7,0.5
185,ABIDE_ACPI_5,SVC,com,52.0,51.9,51.9,51.9,51.9,0.5
186,ABIDE_ACPI_5,SVC,com,32.0,33.0,33.0,26.8,27.8,0.5
187,ABIDE_ACPI_5,SVC,com,52.0,52.9,52.9,53.6,50.0,0.5
188,ABIDE_ACPI_5,SVC,com,45.8,45.8,45.8,45.8,45.7,0.5
189,ABIDE_ACPI_5,SVC,com,50.0,50.0,50.0,25.0,33.3,0.5
190,ABIDE_ACPI_5,SVC,spec,40.0,40.4,40.4,40.0,39.6,1.0
191,ABIDE_ACPI_5,SVC,spec,60.0,59.6,59.6,60.0,59.4,1.0
192,ABIDE_ACPI_5,SVC,spec,36.0,36.2,36.2,36.0,35.9,1.0
193,ABIDE_ACPI_5,SVC,spec,58.3,58.3,58.3,58.6,58.0,1.0
194,ABIDE_ACPI_5,SVC,spec,41.7,41.7,41.7,41.4,41.3,1.0
195,ABIDE_ACPI_5,SVC,com,52.0,51.9,51.9,51.9,51.9,1.0
196,ABIDE_ACPI_5,SVC,com,48.0,49.0,49.0,48.7,44.8,1.0
197,ABIDE_ACPI_5,SVC,com,40.0,41.0,41.0,37.7,36.3,1.0
198,ABIDE_ACPI_5,SVC,com,41.7,41.7,41.7,41.4,41.3,1.0
199,ABIDE_ACPI_5,SVC,com,58.3,58.3,58.3,58.6,58.0,1.0
200,ABIDE_ACPI_6,SVC,spec,57.7,57.7,57.7,57.7,57.6,0.1
201,ABIDE_ACPI_6,SVC,spec,61.5,61.5,61.5,64.7,59.4,0.1
202,ABIDE_ACPI_6,SVC,spec,28.0,27.6,27.6,26.7,26.9,0.1
203,ABIDE_ACPI_6,SVC,spec,56.0,56.1,56.1,56.1,56.0,0.1
204,ABIDE_ACPI_6,SVC,spec,44.0,44.6,44.6,44.1,43.2,0.1
205,ABIDE_ACPI_6,SVC,com,50.0,50.0,50.0,50.0,49.9,0.1
206,ABIDE_ACPI_6,SVC,com,38.5,38.5,38.5,38.2,38.1,0.1
207,ABIDE_ACPI_6,SVC,com,48.0,46.8,46.8,45.0,42.1,0.1
208,ABIDE_ACPI_6,SVC,com,52.0,51.6,51.6,51.7,51.3,0.1
209,ABIDE_ACPI_6,SVC,com,44.0,42.3,42.3,23.9,30.6,0.1
210,ABIDE_ACPI_6,SVC,spec,46.2,46.2,46.2,46.2,46.2,0.2
211,ABIDE_ACPI_6,SVC,spec,53.8,53.8,53.8,54.2,52.7,0.2
212,ABIDE_ACPI_6,SVC,spec,48.0,48.1,48.1,48.1,48.0,0.2
213,ABIDE_ACPI_6,SVC,spec,32.0,32.1,32.1,32.1,32.0,0.2
214,ABIDE_ACPI_6,SVC,spec,40.0,40.4,40.4,40.0,39.6,0.2
215,ABIDE_ACPI_6,SVC,com,34.6,34.6,34.6,34.5,34.5,0.2
216,ABIDE_ACPI_6,SVC,com,53.8,53.8,53.8,53.9,53.6,0.2
217,ABIDE_ACPI_6,SVC,com,44.0,42.3,42.3,23.9,30.6,0.2
218,ABIDE_ACPI_6,SVC,com,52.0,50.6,50.6,51.2,44.9,0.2
219,ABIDE_ACPI_6,SVC,com,52.0,50.3,50.3,51.1,40.5,0.2
220,ABIDE_ACPI_6,SVC,spec,34.6,34.6,34.6,34.5,34.5,0.5
221,ABIDE_ACPI_6,SVC,spec,61.5,61.5,61.5,64.7,59.4,0.5
222,ABIDE_ACPI_6,SVC,spec,52.0,51.9,51.9,51.9,51.9,0.5
223,ABIDE_ACPI_6,SVC,spec,52.0,52.6,52.6,52.8,51.3,0.5
224,ABIDE_ACPI_6,SVC,spec,44.0,44.6,44.6,44.1,43.2,0.5
225,ABIDE_ACPI_6,SVC,com,57.7,57.7,57.7,57.7,57.6,0.5
226,ABIDE_ACPI_6,SVC,com,50.0,50.0,50.0,50.0,46.1,0.5
227,ABIDE_ACPI_6,SVC,com,52.0,50.3,50.3,51.1,40.5,0.5
228,ABIDE_ACPI_6,SVC,com,72.0,71.5,71.5,73.3,71.3,0.5
229,ABIDE_ACPI_6,SVC,com,52.0,50.3,50.3,51.1,40.5,0.5
230,ABIDE_ACPI_6,SVC,spec,50.0,50.0,50.0,50.0,49.3,1.0
231,ABIDE_ACPI_6,SVC,spec,61.5,61.5,61.5,68.6,57.5,1.0
232,ABIDE_ACPI_6,SVC,spec,64.0,64.7,64.7,66.9,63.1,1.0
233,ABIDE_ACPI_6,SVC,spec,32.0,32.7,32.7,30.1,30.2,1.0
234,ABIDE_ACPI_6,SVC,spec,52.0,52.6,52.6,52.8,51.3,1.0
235,ABIDE_ACPI_6,SVC,com,57.7,57.7,57.7,58.1,57.1,1.0
236,ABIDE_ACPI_6,SVC,com,38.5,38.5,38.5,38.5,38.5,1.0
237,ABIDE_ACPI_6,SVC,com,52.0,50.3,50.3,51.1,40.5,1.0
238,ABIDE_ACPI_6,SVC,com,64.0,63.8,63.8,64.0,63.8,1.0
239,ABIDE_ACPI_6,SVC,com,56.0,54.5,54.5,60.6,47.6,1.0
240,ABIDE_ACPI_7,SVC,spec,40.0,39.4,39.4,38.5,38.4,0.1
241,ABIDE_ACPI_7,SVC,spec,64.0,64.4,64.4,65.0,63.8,0.1
242,ABIDE_ACPI_7,SVC,spec,48.0,47.8,47.8,47.7,47.7,0.1
243,ABIDE_ACPI_7,SVC,spec,24.0,23.7,23.7,23.4,23.5,0.1
244,ABIDE_ACPI_7,SVC,spec,33.3,33.3,33.3,32.9,32.9,0.1
245,ABIDE_ACPI_7,SVC,com,44.0,44.6,44.6,44.1,43.2,0.1
246,ABIDE_ACPI_7,SVC,com,44.0,43.6,43.6,43.3,43.2,0.1
247,ABIDE_ACPI_7,SVC,com,60.0,60.3,60.3,60.4,59.9,0.1
248,ABIDE_ACPI_7,SVC,com,44.0,44.6,44.6,44.1,43.2,0.1
249,ABIDE_ACPI_7,SVC,com,58.3,58.3,58.3,58.6,58.0,0.1
250,ABIDE_ACPI_7,SVC,spec,40.0,39.4,39.4,38.5,38.4,0.2
251,ABIDE_ACPI_7,SVC,spec,56.0,56.7,56.7,57.7,54.8,0.2
252,ABIDE_ACPI_7,SVC,spec,40.0,40.4,40.4,40.0,39.6,0.2
253,ABIDE_ACPI_7,SVC,spec,40.0,39.7,39.7,39.6,39.6,0.2
254,ABIDE_ACPI_7,SVC,spec,37.5,37.5,37.5,37.4,37.4,0.2
255,ABIDE_ACPI_7,SVC,com,52.0,52.6,52.6,52.8,51.3,0.2
256,ABIDE_ACPI_7,SVC,com,52.0,51.6,51.6,51.7,51.3,0.2
257,ABIDE_ACPI_7,SVC,com,40.0,39.4,39.4,38.5,38.4,0.2
258,ABIDE_ACPI_7,SVC,com,36.0,36.5,36.5,35.4,35.1,0.2
259,ABIDE_ACPI_7,SVC,com,58.3,58.3,58.3,58.6,58.0,0.2
260,ABIDE_ACPI_7,SVC,spec,56.0,55.4,55.4,55.9,54.8,0.5
261,ABIDE_ACPI_7,SVC,spec,40.0,40.7,40.7,39.3,38.4,0.5
262,ABIDE_ACPI_7,SVC,spec,48.0,47.4,47.4,47.2,46.6,0.5
263,ABIDE_ACPI_7,SVC,spec,48.0,47.4,47.4,47.2,46.6,0.5
264,ABIDE_ACPI_7,SVC,spec,41.7,41.7,41.7,41.4,41.3,0.5
265,ABIDE_ACPI_7,SVC,com,56.0,56.1,56.1,56.1,56.0,0.5
266,ABIDE_ACPI_7,SVC,com,48.0,48.1,48.1,48.1,48.0,0.5
267,ABIDE_ACPI_7,SVC,com,64.0,65.1,65.1,70.6,61.8,0.5
268,ABIDE_ACPI_7,SVC,com,52.0,52.6,52.6,52.8,51.3,0.5
269,ABIDE_ACPI_7,SVC,com,41.7,41.7,41.7,41.4,41.3,0.5
270,ABIDE_ACPI_7,SVC,spec,40.0,40.1,40.1,40.1,40.0,1.0
271,ABIDE_ACPI_7,SVC,spec,56.0,56.4,56.4,56.7,55.7,1.0
272,ABIDE_ACPI_7,SVC,spec,56.0,56.4,56.4,56.7,55.7,1.0
273,ABIDE_ACPI_7,SVC,spec,76.0,75.6,75.6,76.7,75.6,1.0
274,ABIDE_ACPI_7,SVC,spec,45.8,45.8,45.8,45.8,45.7,1.0
275,ABIDE_ACPI_7,SVC,com,60.0,60.6,60.6,61.5,59.4,1.0
276,ABIDE_ACPI_7,SVC,com,28.0,28.5,28.5,26.7,26.9,1.0
277,ABIDE_ACPI_7,SVC,com,36.0,37.2,37.2,30.0,30.6,1.0
278,ABIDE_ACPI_7,SVC,com,52.0,52.6,52.6,52.8,51.3,1.0
279,ABIDE_ACPI_7,SVC,com,58.3,58.3,58.3,58.6,58.0,1.0
280,ABIDE_ACPI_8,SVC,spec,46.2,46.2,46.2,46.2,46.2,0.1
281,ABIDE_ACPI_8,SVC,spec,69.2,69.2,69.2,71.2,68.5,0.1
282,ABIDE_ACPI_8,SVC,spec,60.0,60.6,60.6,61.5,59.4,0.1
283,ABIDE_ACPI_8,SVC,spec,64.0,63.8,63.8,64.0,63.8,0.1
284,ABIDE_ACPI_8,SVC,spec,32.0,32.1,32.1,32.1,32.0,0.1
285,ABIDE_ACPI_8,SVC,com,53.8,53.8,53.8,56.2,49.0,0.1
286,ABIDE_ACPI_8,SVC,com,50.0,50.0,50.0,50.0,49.9,0.1
287,ABIDE_ACPI_8,SVC,com,56.0,56.1,56.1,56.1,56.0,0.1
288,ABIDE_ACPI_8,SVC,com,60.0,59.9,59.9,59.9,59.9,0.1
289,ABIDE_ACPI_8,SVC,com,52.0,52.6,52.6,52.8,51.3,0.1
290,ABIDE_ACPI_8,SVC,spec,73.1,73.1,73.1,73.2,73.0,0.2
291,ABIDE_ACPI_8,SVC,spec,57.7,57.7,57.7,58.1,57.1,0.2
292,ABIDE_ACPI_8,SVC,spec,52.0,52.6,52.6,52.8,51.3,0.2
293,ABIDE_ACPI_8,SVC,spec,44.0,44.2,44.2,44.2,43.9,0.2
294,ABIDE_ACPI_8,SVC,spec,48.0,48.7,48.7,48.5,46.6,0.2
295,ABIDE_ACPI_8,SVC,com,50.0,50.0,50.0,50.0,46.1,0.2
296,ABIDE_ACPI_8,SVC,com,42.3,42.3,42.3,42.3,42.2,0.2
297,ABIDE_ACPI_8,SVC,com,44.0,44.2,44.2,44.2,43.9,0.2
298,ABIDE_ACPI_8,SVC,com,52.0,51.9,51.9,51.9,51.9,0.2
299,ABIDE_ACPI_8,SVC,com,52.0,52.6,52.6,52.8,51.3,0.2
300,ABIDE_ACPI_8,SVC,spec,46.2,46.2,46.2,46.2,46.2,0.5
301,ABIDE_ACPI_8,SVC,spec,50.0,50.0,50.0,50.0,49.3,0.5
302,ABIDE_ACPI_8,SVC,spec,40.0,40.4,40.4,40.0,39.6,0.5
303,ABIDE_ACPI_8,SVC,spec,56.0,56.1,56.1,56.1,56.0,0.5
304,ABIDE_ACPI_8,SVC,spec,48.0,48.4,48.4,48.3,47.7,0.5
305,ABIDE_ACPI_8,SVC,com,53.8,53.8,53.8,56.2,49.0,0.5
