,DataType,Estimator,RD,ACC,SEN,SPEC,PREC,F1,scale
0,ABIDE_0,SVC,com,92.3,92.3,92.3,93.3,92.3,0.1
1,ABIDE_0,SVC,com,92.3,92.3,92.3,92.8,92.3,0.1
2,ABIDE_0,SVC,com,87.2,87.1,87.1,89.4,87.0,0.1
3,ABIDE_0,SVC,com,91.3,91.2,91.2,92.6,91.2,0.1
4,ABIDE_0,SVC,com,90.7,90.7,90.7,91.9,90.7,0.1
5,ABIDE_0,SVC,com,93.3,93.4,93.4,94.1,93.3,0.2
6,ABIDE_0,SVC,com,94.4,94.4,94.4,94.6,94.4,0.2
7,ABIDE_0,SVC,com,90.3,90.2,90.2,91.5,90.2,0.2
8,ABIDE_0,SVC,com,93.8,93.8,93.8,94.5,93.8,0.2
9,ABIDE_0,SVC,com,92.3,92.3,92.3,93.0,92.2,0.2
10,ABIDE_0,SVC,com,95.9,95.9,95.9,96.2,95.9,0.5
11,ABIDE_0,SVC,com,95.9,95.9,95.9,96.2,95.9,0.5
12,ABIDE_0,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
13,ABIDE_0,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
14,ABIDE_0,SVC,com,94.8,94.8,94.8,95.3,94.8,0.5
15,ABIDE_0,SVC,com,94.9,94.9,94.9,95.3,94.9,1.0
16,ABIDE_0,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
17,ABIDE_0,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
18,ABIDE_0,SVC,com,95.9,95.9,95.9,96.2,95.9,1.0
19,ABIDE_0,SVC,com,96.4,96.4,96.4,96.6,96.4,1.0
20,ABIDE_1,SVC,com,90.8,90.8,90.8,91.6,90.7,0.1
21,ABIDE_1,SVC,com,92.3,92.3,92.3,93.3,92.3,0.1
22,ABIDE_1,SVC,com,86.7,86.6,86.6,88.7,86.5,0.1
23,ABIDE_1,SVC,com,89.7,89.7,89.7,90.6,89.7,0.1
24,ABIDE_1,SVC,com,90.2,90.2,90.2,91.5,90.1,0.1
25,ABIDE_1,SVC,com,92.3,92.3,92.3,92.8,92.3,0.2
26,ABIDE_1,SVC,com,94.9,94.9,94.9,95.3,94.9,0.2
27,ABIDE_1,SVC,com,89.2,89.2,89.2,90.5,89.1,0.2
28,ABIDE_1,SVC,com,91.3,91.3,91.3,91.8,91.2,0.2
29,ABIDE_1,SVC,com,92.8,92.8,92.8,93.4,92.8,0.2
30,ABIDE_1,SVC,com,95.4,95.4,95.4,95.6,95.4,0.5
31,ABIDE_1,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
32,ABIDE_1,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
33,ABIDE_1,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
34,ABIDE_1,SVC,com,94.3,94.3,94.3,94.9,94.3,0.5
35,ABIDE_1,SVC,com,94.9,94.9,94.9,95.3,94.9,1.0
36,ABIDE_1,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
37,ABIDE_1,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
38,ABIDE_1,SVC,com,95.9,95.9,95.9,96.2,95.9,1.0
39,ABIDE_1,SVC,com,96.4,96.4,96.4,96.6,96.4,1.0
40,ABIDE_2,SVC,com,91.8,91.8,91.8,92.9,91.7,0.1
41,ABIDE_2,SVC,com,91.8,91.8,91.8,92.6,91.8,0.1
42,ABIDE_2,SVC,com,87.2,87.1,87.1,89.4,87.0,0.1
43,ABIDE_2,SVC,com,91.3,91.2,91.2,92.6,91.2,0.1
44,ABIDE_2,SVC,com,90.2,90.2,90.2,91.5,90.1,0.1
45,ABIDE_2,SVC,com,93.3,93.4,93.4,94.1,93.3,0.2
46,ABIDE_2,SVC,com,94.4,94.4,94.4,94.7,94.3,0.2
47,ABIDE_2,SVC,com,90.3,90.2,90.2,91.5,90.2,0.2
48,ABIDE_2,SVC,com,93.8,93.8,93.8,94.5,93.8,0.2
49,ABIDE_2,SVC,com,92.8,92.8,92.8,93.4,92.8,0.2
50,ABIDE_2,SVC,com,95.9,95.9,95.9,96.2,95.9,0.5
51,ABIDE_2,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
52,ABIDE_2,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
53,ABIDE_2,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
54,ABIDE_2,SVC,com,94.8,94.8,94.8,95.3,94.8,0.5
55,ABIDE_2,SVC,com,94.4,94.4,94.4,94.9,94.3,1.0
56,ABIDE_2,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
57,ABIDE_2,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
58,ABIDE_2,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
59,ABIDE_2,SVC,com,95.9,95.9,95.9,96.2,95.9,1.0
60,ABIDE_3,SVC,com,91.8,91.8,91.8,92.9,91.7,0.1
61,ABIDE_3,SVC,com,92.3,92.3,92.3,93.3,92.3,0.1
62,ABIDE_3,SVC,com,86.7,86.6,86.6,88.7,86.5,0.1
63,ABIDE_3,SVC,com,90.8,90.7,90.7,91.9,90.7,0.1
64,ABIDE_3,SVC,com,90.2,90.2,90.2,91.5,90.1,0.1
65,ABIDE_3,SVC,com,93.3,93.4,93.4,94.1,93.3,0.2
66,ABIDE_3,SVC,com,94.9,94.9,94.9,95.3,94.9,0.2
67,ABIDE_3,SVC,com,89.7,89.7,89.7,90.9,89.7,0.2
68,ABIDE_3,SVC,com,93.3,93.3,93.3,93.9,93.3,0.2
69,ABIDE_3,SVC,com,93.3,93.3,93.3,94.1,93.3,0.2
70,ABIDE_3,SVC,com,95.9,95.9,95.9,96.2,95.9,0.5
71,ABIDE_3,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
72,ABIDE_3,SVC,com,94.9,94.9,94.9,95.2,94.9,0.5
73,ABIDE_3,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
74,ABIDE_3,SVC,com,94.8,94.8,94.8,95.3,94.8,0.5
75,ABIDE_3,SVC,com,94.4,94.4,94.4,94.9,94.3,1.0
76,ABIDE_3,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
77,ABIDE_3,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
78,ABIDE_3,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
79,ABIDE_3,SVC,com,95.9,95.9,95.9,96.2,95.9,1.0
80,ABIDE_4,SVC,com,91.3,91.3,91.3,92.3,91.2,0.1
81,ABIDE_4,SVC,com,92.3,92.3,92.3,93.3,92.3,0.1
82,ABIDE_4,SVC,com,87.2,87.1,87.1,89.0,87.0,0.1
83,ABIDE_4,SVC,com,90.8,90.7,90.7,91.9,90.7,0.1
84,ABIDE_4,SVC,com,91.2,91.2,91.2,92.5,91.2,0.1
85,ABIDE_4,SVC,com,92.8,92.9,92.9,93.5,92.8,0.2
86,ABIDE_4,SVC,com,94.9,94.9,94.9,95.3,94.9,0.2
87,ABIDE_4,SVC,com,89.7,89.7,89.7,90.9,89.7,0.2
88,ABIDE_4,SVC,com,93.3,93.3,93.3,93.9,93.3,0.2
89,ABIDE_4,SVC,com,93.3,93.3,93.3,94.1,93.3,0.2
90,ABIDE_4,SVC,com,95.9,95.9,95.9,96.2,95.9,0.5
91,ABIDE_4,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
92,ABIDE_4,SVC,com,94.9,94.9,94.9,95.2,94.9,0.5
93,ABIDE_4,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
94,ABIDE_4,SVC,com,94.8,94.8,94.8,95.3,94.8,0.5
95,ABIDE_4,SVC,com,94.4,94.4,94.4,94.9,94.3,1.0
96,ABIDE_4,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
97,ABIDE_4,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
98,ABIDE_4,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
99,ABIDE_4,SVC,com,96.4,96.4,96.4,96.6,96.4,1.0
100,ABIDE_5,SVC,com,90.8,90.8,90.8,91.6,90.7,0.1
101,ABIDE_5,SVC,com,92.3,92.3,92.3,93.3,92.3,0.1
102,ABIDE_5,SVC,com,87.2,87.1,87.1,89.4,87.0,0.1
103,ABIDE_5,SVC,com,90.8,90.7,90.7,91.9,90.7,0.1
104,ABIDE_5,SVC,com,91.2,91.2,91.2,92.5,91.2,0.1
105,ABIDE_5,SVC,com,92.8,92.9,92.9,93.5,92.8,0.2
106,ABIDE_5,SVC,com,94.9,94.9,94.9,95.3,94.9,0.2
107,ABIDE_5,SVC,com,89.7,89.7,89.7,91.2,89.6,0.2
108,ABIDE_5,SVC,com,92.8,92.8,92.8,93.5,92.8,0.2
109,ABIDE_5,SVC,com,92.3,92.3,92.3,93.3,92.2,0.2
110,ABIDE_5,SVC,com,95.4,95.4,95.4,95.6,95.4,0.5
111,ABIDE_5,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
112,ABIDE_5,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
113,ABIDE_5,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
114,ABIDE_5,SVC,com,94.3,94.3,94.3,94.9,94.3,0.5
115,ABIDE_5,SVC,com,94.4,94.4,94.4,94.9,94.3,1.0
116,ABIDE_5,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
117,ABIDE_5,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
118,ABIDE_5,SVC,com,95.9,95.9,95.9,96.2,95.9,1.0
119,ABIDE_5,SVC,com,96.4,96.4,96.4,96.6,96.4,1.0
120,ABIDE_6,SVC,com,91.8,91.8,91.8,92.9,91.7,0.1
121,ABIDE_6,SVC,com,91.3,91.3,91.3,92.0,91.2,0.1
122,ABIDE_6,SVC,com,85.1,85.1,85.1,86.9,84.9,0.1
123,ABIDE_6,SVC,com,90.3,90.2,90.2,91.9,90.2,0.1
124,ABIDE_6,SVC,com,90.2,90.2,90.2,91.5,90.1,0.1
125,ABIDE_6,SVC,com,93.3,93.4,93.4,94.1,93.3,0.2
126,ABIDE_6,SVC,com,93.8,93.9,93.9,94.1,93.8,0.2
127,ABIDE_6,SVC,com,89.7,89.7,89.7,90.9,89.7,0.2
128,ABIDE_6,SVC,com,92.8,92.8,92.8,93.8,92.8,0.2
129,ABIDE_6,SVC,com,92.8,92.8,92.8,93.4,92.8,0.2
130,ABIDE_6,SVC,com,95.9,95.9,95.9,96.2,95.9,0.5
131,ABIDE_6,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
132,ABIDE_6,SVC,com,94.9,94.9,94.9,95.2,94.9,0.5
133,ABIDE_6,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
134,ABIDE_6,SVC,com,94.3,94.3,94.3,94.9,94.3,0.5
135,ABIDE_6,SVC,com,94.4,94.4,94.4,94.9,94.3,1.0
136,ABIDE_6,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
137,ABIDE_6,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
138,ABIDE_6,SVC,com,95.9,95.9,95.9,96.2,95.9,1.0
139,ABIDE_6,SVC,com,96.4,96.4,96.4,96.6,96.4,1.0
140,ABIDE_7,SVC,com,92.3,92.3,92.3,93.3,92.3,0.1
141,ABIDE_7,SVC,com,91.8,91.8,91.8,92.4,91.8,0.1
142,ABIDE_7,SVC,com,87.2,87.1,87.1,89.0,87.0,0.1
143,ABIDE_7,SVC,com,91.3,91.2,91.2,92.6,91.2,0.1
144,ABIDE_7,SVC,com,90.2,90.2,90.2,91.2,90.1,0.1
145,ABIDE_7,SVC,com,93.8,93.9,93.9,94.5,93.8,0.2
146,ABIDE_7,SVC,com,95.4,95.4,95.4,95.8,95.4,0.2
147,ABIDE_7,SVC,com,90.3,90.2,90.2,91.5,90.2,0.2
148,ABIDE_7,SVC,com,93.8,93.8,93.8,94.5,93.8,0.2
149,ABIDE_7,SVC,com,92.3,92.3,92.3,92.8,92.2,0.2
150,ABIDE_7,SVC,com,95.9,95.9,95.9,96.2,95.9,0.5
151,ABIDE_7,SVC,com,95.9,95.9,95.9,96.2,95.9,0.5
152,ABIDE_7,SVC,com,94.9,94.9,94.9,95.2,94.9,0.5
153,ABIDE_7,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
154,ABIDE_7,SVC,com,94.8,94.8,94.8,95.3,94.8,0.5
155,ABIDE_7,SVC,com,94.9,94.9,94.9,95.3,94.9,1.0
156,ABIDE_7,SVC,com,95.9,95.9,95.9,96.2,95.9,1.0
157,ABIDE_7,SVC,com,95.9,95.9,95.9,96.2,95.9,1.0
158,ABIDE_7,SVC,com,95.9,95.9,95.9,96.2,95.9,1.0
159,ABIDE_7,SVC,com,96.4,96.4,96.4,96.6,96.4,1.0
160,ABIDE_8,SVC,com,91.3,91.3,91.3,92.3,91.2,0.1
161,ABIDE_8,SVC,com,92.3,92.3,92.3,93.3,92.3,0.1
162,ABIDE_8,SVC,com,88.2,88.1,88.1,90.5,88.0,0.1
163,ABIDE_8,SVC,com,90.3,90.2,90.2,91.3,90.2,0.1
164,ABIDE_8,SVC,com,90.7,90.7,90.7,91.9,90.7,0.1
165,ABIDE_8,SVC,com,92.8,92.9,92.9,93.5,92.8,0.2
166,ABIDE_8,SVC,com,94.9,94.9,94.9,95.3,94.9,0.2
167,ABIDE_8,SVC,com,90.3,90.2,90.2,91.9,90.2,0.2
168,ABIDE_8,SVC,com,91.3,91.2,91.2,92.1,91.2,0.2
169,ABIDE_8,SVC,com,92.8,92.8,92.8,93.4,92.8,0.2
170,ABIDE_8,SVC,com,95.9,95.9,95.9,96.2,95.9,0.5
171,ABIDE_8,SVC,com,95.9,95.9,95.9,96.2,95.9,0.5
172,ABIDE_8,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
173,ABIDE_8,SVC,com,94.9,94.9,94.9,95.2,94.9,0.5
174,ABIDE_8,SVC,com,94.8,94.8,94.8,95.3,94.8,0.5
175,ABIDE_8,SVC,com,94.4,94.4,94.4,94.9,94.3,1.0
176,ABIDE_8,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
177,ABIDE_8,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
178,ABIDE_8,SVC,com,95.9,95.9,95.9,96.2,95.9,1.0
179,ABIDE_8,SVC,com,96.4,96.4,96.4,96.6,96.4,1.0
180,ABIDE_9,SVC,com,91.3,91.3,91.3,92.3,91.2,0.1
181,ABIDE_9,SVC,com,91.8,91.8,91.8,92.9,91.7,0.1
182,ABIDE_9,SVC,com,86.7,86.6,86.6,89.1,86.4,0.1
183,ABIDE_9,SVC,com,90.8,90.7,90.7,92.2,90.7,0.1
184,ABIDE_9,SVC,com,90.2,90.2,90.2,91.2,90.1,0.1
185,ABIDE_9,SVC,com,92.8,92.9,92.9,93.5,92.8,0.2
186,ABIDE_9,SVC,com,94.9,94.9,94.9,95.3,94.9,0.2
187,ABIDE_9,SVC,com,89.7,89.7,89.7,91.2,89.6,0.2
188,ABIDE_9,SVC,com,92.3,92.3,92.3,93.4,92.3,0.2
189,ABIDE_9,SVC,com,92.3,92.3,92.3,93.0,92.2,0.2
190,ABIDE_9,SVC,com,95.9,95.9,95.9,96.2,95.9,0.5
191,ABIDE_9,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
192,ABIDE_9,SVC,com,94.9,94.9,94.9,95.2,94.9,0.5
193,ABIDE_9,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
194,ABIDE_9,SVC,com,94.3,94.3,94.3,94.9,94.3,0.5
195,ABIDE_9,SVC,com,94.4,94.4,94.4,94.9,94.3,1.0
196,ABIDE_9,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
197,ABIDE_9,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
198,ABIDE_9,SVC,com,95.9,95.9,95.9,96.2,95.9,1.0
199,ABIDE_9,SVC,com,96.4,96.4,96.4,96.6,96.4,1.0
200,ABIDE_10,SVC,com,91.3,91.3,91.3,92.3,91.2,0.1
201,ABIDE_10,SVC,com,92.3,92.3,92.3,93.3,92.3,0.1
202,ABIDE_10,SVC,com,87.2,87.1,87.1,89.4,87.0,0.1
203,ABIDE_10,SVC,com,90.3,90.2,90.2,91.3,90.2,0.1
204,ABIDE_10,SVC,com,91.2,91.2,91.2,92.5,91.2,0.1
205,ABIDE_10,SVC,com,93.3,93.4,93.4,94.1,93.3,0.2
206,ABIDE_10,SVC,com,94.9,94.9,94.9,95.3,94.9,0.2
207,ABIDE_10,SVC,com,89.7,89.7,89.7,91.2,89.6,0.2
208,ABIDE_10,SVC,com,91.8,91.8,91.8,92.7,91.7,0.2
209,ABIDE_10,SVC,com,92.8,92.8,92.8,93.7,92.7,0.2
210,ABIDE_10,SVC,com,95.9,95.9,95.9,96.2,95.9,0.5
211,ABIDE_10,SVC,com,95.9,95.9,95.9,96.2,95.9,0.5
212,ABIDE_10,SVC,com,94.9,94.9,94.9,95.2,94.9,0.5
213,ABIDE_10,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
214,ABIDE_10,SVC,com,94.8,94.8,94.8,95.3,94.8,0.5
215,ABIDE_10,SVC,com,94.9,94.9,94.9,95.3,94.9,1.0
216,ABIDE_10,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
217,ABIDE_10,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
218,ABIDE_10,SVC,com,95.9,95.9,95.9,96.2,95.9,1.0
219,ABIDE_10,SVC,com,96.4,96.4,96.4,96.6,96.4,1.0
220,ABIDE_11,SVC,com,90.3,90.3,90.3,91.0,90.2,0.1
221,ABIDE_11,SVC,com,92.3,92.3,92.3,93.3,92.3,0.1
222,ABIDE_11,SVC,com,86.7,86.6,86.6,88.7,86.5,0.1
223,ABIDE_11,SVC,com,90.3,90.2,90.2,91.3,90.2,0.1
224,ABIDE_11,SVC,com,90.7,90.7,90.7,92.2,90.6,0.1
225,ABIDE_11,SVC,com,92.8,92.9,92.9,93.5,92.8,0.2
226,ABIDE_11,SVC,com,94.9,94.9,94.9,95.3,94.9,0.2
227,ABIDE_11,SVC,com,89.7,89.7,89.7,90.9,89.7,0.2
228,ABIDE_11,SVC,com,92.8,92.8,92.8,93.3,92.8,0.2
229,ABIDE_11,SVC,com,92.8,92.8,92.8,93.7,92.7,0.2
230,ABIDE_11,SVC,com,95.9,95.9,95.9,96.2,95.9,0.5
231,ABIDE_11,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
232,ABIDE_11,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
233,ABIDE_11,SVC,com,94.9,94.9,94.9,95.2,94.9,0.5
234,ABIDE_11,SVC,com,94.8,94.8,94.8,95.3,94.8,0.5
235,ABIDE_11,SVC,com,94.4,94.4,94.4,94.9,94.3,1.0
236,ABIDE_11,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
237,ABIDE_11,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
238,ABIDE_11,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
239,ABIDE_11,SVC,com,96.4,96.4,96.4,96.6,96.4,1.0
240,ABIDE_12,SVC,com,91.3,91.3,91.3,92.3,91.2,0.1
241,ABIDE_12,SVC,com,91.8,91.8,91.8,92.6,91.8,0.1
242,ABIDE_12,SVC,com,87.7,87.6,87.6,89.8,87.5,0.1
243,ABIDE_12,SVC,com,90.8,90.7,90.7,92.2,90.7,0.1
244,ABIDE_12,SVC,com,90.2,90.2,90.2,91.2,90.1,0.1
245,ABIDE_12,SVC,com,92.8,92.9,92.9,93.5,92.8,0.2
246,ABIDE_12,SVC,com,94.4,94.4,94.4,94.7,94.3,0.2
247,ABIDE_12,SVC,com,90.3,90.2,90.2,91.5,90.2,0.2
248,ABIDE_12,SVC,com,93.8,93.8,93.8,94.5,93.8,0.2
249,ABIDE_12,SVC,com,92.8,92.8,92.8,93.4,92.8,0.2
250,ABIDE_12,SVC,com,95.9,95.9,95.9,96.2,95.9,0.5
251,ABIDE_12,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
252,ABIDE_12,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
253,ABIDE_12,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
254,ABIDE_12,SVC,com,94.8,94.8,94.8,95.3,94.8,0.5
255,ABIDE_12,SVC,com,94.9,94.9,94.9,95.3,94.9,1.0
256,ABIDE_12,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
257,ABIDE_12,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
258,ABIDE_12,SVC,com,95.9,95.9,95.9,96.2,95.9,1.0
259,ABIDE_12,SVC,com,96.4,96.4,96.4,96.6,96.4,1.0
260,ABIDE_13,SVC,com,90.8,90.8,90.8,91.6,90.7,0.1
261,ABIDE_13,SVC,com,91.8,91.8,91.8,92.9,91.7,0.1
262,ABIDE_13,SVC,com,86.7,86.6,86.6,88.7,86.5,0.1
263,ABIDE_13,SVC,com,91.3,91.2,91.2,92.6,91.2,0.1
264,ABIDE_13,SVC,com,91.2,91.2,91.2,92.5,91.2,0.1
265,ABIDE_13,SVC,com,92.8,92.8,92.8,93.3,92.8,0.2
266,ABIDE_13,SVC,com,94.9,94.9,94.9,95.3,94.9,0.2
267,ABIDE_13,SVC,com,90.3,90.2,90.2,91.5,90.2,0.2
268,ABIDE_13,SVC,com,93.8,93.8,93.8,94.5,93.8,0.2
269,ABIDE_13,SVC,com,92.8,92.8,92.8,93.7,92.7,0.2
270,ABIDE_13,SVC,com,95.9,95.9,95.9,96.2,95.9,0.5
271,ABIDE_13,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
272,ABIDE_13,SVC,com,94.9,94.9,94.9,95.2,94.9,0.5
273,ABIDE_13,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
274,ABIDE_13,SVC,com,94.8,94.8,94.8,95.3,94.8,0.5
275,ABIDE_13,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
276,ABIDE_13,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
277,ABIDE_13,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
278,ABIDE_13,SVC,com,95.9,95.9,95.9,96.2,95.9,1.0
279,ABIDE_13,SVC,com,95.9,95.9,95.9,96.2,95.9,1.0
280,ABIDE_14,SVC,com,91.8,91.8,91.8,92.6,91.8,0.1
281,ABIDE_14,SVC,com,91.3,91.3,91.3,92.0,91.2,0.1
282,ABIDE_14,SVC,com,87.2,87.1,87.1,89.4,87.0,0.1
283,ABIDE_14,SVC,com,91.3,91.2,91.2,92.6,91.2,0.1
284,ABIDE_14,SVC,com,90.2,90.2,90.2,91.5,90.1,0.1
285,ABIDE_14,SVC,com,93.3,93.4,93.4,94.1,93.3,0.2
286,ABIDE_14,SVC,com,93.8,93.9,93.9,94.1,93.8,0.2
287,ABIDE_14,SVC,com,90.3,90.2,90.2,91.5,90.2,0.2
288,ABIDE_14,SVC,com,93.8,93.8,93.8,94.5,93.8,0.2
289,ABIDE_14,SVC,com,91.8,91.8,91.8,92.6,91.7,0.2
290,ABIDE_14,SVC,com,95.9,95.9,95.9,96.2,95.9,0.5
291,ABIDE_14,SVC,com,94.9,94.9,94.9,95.2,94.9,0.5
292,ABIDE_14,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
293,ABIDE_14,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
294,ABIDE_14,SVC,com,94.3,94.3,94.3,94.9,94.3,0.5
295,ABIDE_14,SVC,com,94.4,94.4,94.4,94.9,94.3,1.0
296,ABIDE_14,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
297,ABIDE_14,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
298,ABIDE_14,SVC,com,95.9,95.9,95.9,96.2,95.9,1.0
299,ABIDE_14,SVC,com,96.4,96.4,96.4,96.6,96.4,1.0
300,ABIDE_15,SVC,com,91.3,91.3,91.3,92.3,91.2,0.1
301,ABIDE_15,SVC,com,91.8,91.8,91.8,92.6,91.8,0.1
302,ABIDE_15,SVC,com,86.2,86.1,86.1,88.3,85.9,0.1
303,ABIDE_15,SVC,com,89.7,89.7,89.7,90.6,89.7,0.1
304,ABIDE_15,SVC,com,90.7,90.7,90.7,92.2,90.6,0.1
305,ABIDE_15,SVC,com,93.3,93.4,93.4,94.1,93.3,0.2
306,ABIDE_15,SVC,com,94.4,94.4,94.4,94.7,94.3,0.2
307,ABIDE_15,SVC,com,89.2,89.2,89.2,90.5,89.1,0.2
308,ABIDE_15,SVC,com,90.8,90.7,90.7,91.4,90.7,0.2
309,ABIDE_15,SVC,com,93.3,93.3,93.3,94.1,93.3,0.2
310,ABIDE_15,SVC,com,95.9,95.9,95.9,96.2,95.9,0.5
311,ABIDE_15,SVC,com,95.9,95.9,95.9,96.2,95.9,0.5
312,ABIDE_15,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
313,ABIDE_15,SVC,com,94.4,94.3,94.3,94.8,94.3,0.5
314,ABIDE_15,SVC,com,94.3,94.3,94.3,94.9,94.3,0.5
315,ABIDE_15,SVC,com,94.4,94.4,94.4,94.9,94.3,1.0
316,ABIDE_15,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
317,ABIDE_15,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
318,ABIDE_15,SVC,com,95.9,95.9,95.9,96.2,95.9,1.0
319,ABIDE_15,SVC,com,96.4,96.4,96.4,96.6,96.4,1.0
320,ABIDE_16,SVC,com,90.8,90.8,90.8,91.6,90.7,0.1
321,ABIDE_16,SVC,com,91.3,91.3,91.3,92.3,91.2,0.1
322,ABIDE_16,SVC,com,87.2,87.1,87.1,89.8,86.9,0.1
323,ABIDE_16,SVC,com,89.7,89.7,89.7,90.6,89.7,0.1
324,ABIDE_16,SVC,com,91.2,91.2,91.2,92.5,91.2,0.1
325,ABIDE_16,SVC,com,92.8,92.9,92.9,93.5,92.8,0.2
326,ABIDE_16,SVC,com,94.4,94.4,94.4,94.7,94.3,0.2
327,ABIDE_16,SVC,com,90.8,90.7,90.7,92.2,90.7,0.2
328,ABIDE_16,SVC,com,91.8,91.8,91.8,92.3,91.8,0.2
329,ABIDE_16,SVC,com,93.3,93.3,93.3,94.1,93.3,0.2
330,ABIDE_16,SVC,com,95.9,95.9,95.9,96.2,95.9,0.5
331,ABIDE_16,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
332,ABIDE_16,SVC,com,95.4,95.4,95.4,95.8,95.4,0.5
333,ABIDE_16,SVC,com,94.9,94.9,94.9,95.2,94.9,0.5
334,ABIDE_16,SVC,com,94.3,94.3,94.3,94.9,94.3,0.5
335,ABIDE_16,SVC,com,94.9,94.9,94.9,95.3,94.9,1.0
336,ABIDE_16,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
337,ABIDE_16,SVC,com,95.4,95.4,95.4,95.8,95.4,1.0
338,ABIDE_16,SVC,com,95.9,95.9,95.9,96.2,95.9,1.0
339,ABIDE_16,SVC,com,96.4,96.4,96.4,96.6,96.4,1.0
340,ABIDE_17,SVC,com,91.8,91.8,91.8,92.9,91.7,0.1
341,ABIDE_17,SVC,com,92.8,92.9,92.9,93.7,92.8,0.1
342,ABIDE_17,SVC,com,87.7,87.6,87.6,89.8,87.5,0.1
343,ABIDE_17,SVC,com,90.3,90.2,90.2,91.5,90.2,0.1
344,ABIDE_17,SVC,com,91.2,91.2,91.2,92.2,91.2,0.1
345,ABIDE_17,SVC,com,93.3,93.4,93.4,94.1,93.3,0.2
346,ABIDE_17,SVC,com,95.4,95.4,95.4,95.8,95.4,0.2
347,ABIDE_17,SVC,com,90.3,90.2,90.2,91.5,90.2,0.2
348,ABIDE_17,SVC,com,92.8,92.8,92.8,93.5,92.8,0.2
